raw,processed,label
Kalengnya sebagiab besar penyok.,kaleng sebagiab besar penyok,0
Hah Apaan kecil gini..tapi yaudahlah..sesuai harga.. dibawah expetasi saya 😉😉,hah apa kecil begini tapi yaudahlah sesuai harga bawah expetasi saya,0
WOI KALO KASIH ORANG TUH EXP YANG LAMA DONK!!!LOE PIKIR KITA 1 RT SEKALI PAKE HABIS !!!KALO MO BUANG BARANG MIKIR JANGAN RUGIIN PELANGGAN ... NAJIS AMIT2 NGK SUDI BELANJA DISINI LAGI ... INI UDAH BERAPA X GUE BELANJA DI SINI HAH!!EXP NGK NYAMPE 1 TAHUN...LAMA2 BANGKRUT MAMPOES LOE ,woi jika kasih orang itu exp yang lama dong kamu pikir kita retweet sekali pakai habis jika mau buang barang mikir jangan rugiin langgan najis amit enggak sudi belanja sini lagi ini sudah berapa kali aku belanja di sini hah exp enggak sampai tahun lama bangkrut mampoes kamu,0
perasaan bulan lalu quality controlnya ok. sampe rumah pun aman bgt. karna dilapisi bubble wrap jg. yg kali ini sayang bgt; udah percaya better beli online di official storenya langsung; tau2nya QCnya kali ini gak teliti. buka bubblenya ; tau2nya penuh butiran deterjen. ternyata ada bagian yg kebuka. mohon ditingkatkan kembali QC stepnya. thanks.,asa bulan lalu quality controlnya ok sampai rumah pun aman banget karena lapis bubble wrap juga yang kali ini sayang banget sudah percaya better beli onlen di official storenya langsung tahu nya qcnya kali ini enggak teliti buka bubblenya tahu nya penuh butir deterjen nyata ada bagi yang buka mohon tingkat kembali qc step terima kasih,0
ga sesuai pesana;jual apa dikasih apa..,tidak sesuai sana jual apa kasih apa,0
pengiriman lama;setelah dikomplain baru dikirim.,kirim lama telah komplain baru kirim,0
produk tidak dikirimkan karena stok habis...harusnya ada pemberitahuan sblm dikirim,produk tidak kirim karena stok habis harus ada pemberitahuan seblum kirim,0
pengiriman parah... barang semua pecah ,kirim parah barang semua pecah,0
Kirimnya malah koko krunch; kl ga ada jangan dimasukin barangnya; kecewa sekali,kirim bahkan koko krunch kalo tidak ada jangan masuk barang kecewa sekali,0
Bs dikirimkan bukti kirimnya? Ada fotonya? Krn dicari2 blm ketemu. Thx,bisa kirim bukti kirim ada foto karena cari belum ketemu terimakasih,0
Barang ok tapi kecewa pengirimannya lambat harus berulang kali dikomplain dulu baru diproses.. saya pesan tanggal 23 maret sampainya tanggal 30 maret.. ,barang ok tapi kecewa kirim lambat harus ulang kali komplain dulu baru proses saya pesan tanggal maret sampai tanggal maret,0
Pengirimanya lama tapi promosi jualan padahal ada masalah internal jadi 2 minggu nunggu pengiriman. Diperhatikn kembali.,pengirimanya lama tapi promosi jual padahal ada masalah internal jadi minggu tunggu kirim diperhatikn kembali,0
Proses pengiriman lama. Sempat resi tidak valid,proses kirim lama sempat resi tidak valid,0
pengiriman lama sekali,kirim lama sekali,0
Saya menerima barang yang sudah dibuka oleh orang lain. Saya minta dikembalikan kepada penjual malah complain saya dianggap selesai dan tidak membantu menyelesaikan masalah. Ini seperti tidak profesional ketika ada complain masalah,saya terima barang yang sudah buka oleh orang lain saya minta kembali kepada jual bahkan complain saya anggap selesai dan tidak bantu selesai masalah ini seperti tidak profesional ketika ada complain masalah,0
Barang terlalu lama sampai; tapi produk bagus dan kemasan bersih tidak kotor,barang terlalu lama sampai tapi produk bagus dan kemas bersih tidak kotor,0
lama tiba nya,lama tiba nya,0
Sampainya tumpah isi timggal sttgh,sampai tumpah isi timggal sttgh,0
keterangan nya sih 900ml pas nyampe 850ml; beli 2 berarti kurang 100ml; mau komplain ntar Cashback nya ngeri gak cair; yasudahlah yaaa nextime mungkin perlu di cek deskripsi produk nya harus seuai;..,terang nya sih ml pas sampai ml beli arti kurang ml mau komplain nanti cashback nya ngeri enggak cair yasudahlah iya nextime mungkin perlu di cek deskripsi produk nya harus uai,0
paket bocor isi tumpah semua didalam dus,paket bocor isi tumpah semua dalam dus,0
Bintang 2; karena lama sekali pengiriman nya.  Apa karena covid; saya tidak tahu karena seller juga tidak komunikatif. Pertanyaan hanya dijawab sekenanya.  Soal produk biasa aja; produk umum,bintang karena lama sekali kirim nya apa karena covid saya tidak tahu karena seller juga tidak komunikatif tanya hanya jawab kena soal produk biasa saja produk umum,0
Pengiriman lamaaaaa bgt.. pesen tgl 20 dtgnya tgl 29 😪,kirim lama banget pesan tanggal dtgnya tanggal,0
Pengiriman lambat sekali...,kirim lambat sekali,0
barang tidak ada lalu ketika paket datang tidak ada refund proses kecuali mengajukan komplain,barang tidak ada lalu ketika paket datang tidak ada refund proses kecuali aju komplain,0
Ayolah jangan dukung L6b7..dosa dan menyalahi kodrat manusia,ayo jangan dukung l bahasa dosa dan salah kodrat manusia,0
Barang sampai dengan selamat;  cuma kayaknya barang udah kadarluarsa dijual murah;  miris sekali;  padahal offical store,barang sampai dengan selamat cuma seperti barang sudah kadarluarsa jual murah miris sekali padahal offical store,0
ada barang yg kurang saat terima; komplainnya ribet; padahal harga barangnya murah.,ada barang yang kurang saat terima komplain ribet padahal harga barang murah,0
Bag kecil tidak sesuai gambar; di gambar bag nya besar bisa untuk 8 kaleng,bag kecil tidak sesuai gambar di gambar bag nya besar bisa untuk kaleng,0
baru review; saya kecewa belanja banyak dan karna barangnya mudah pecah karna benda liquid harusnya di packing dengan rapih jangan di jadiin satu dus. karna berat entah jatuh atau kenapa barangnya kurang 1 dan ada yg pecah juga. untung di bantu oleh tokopedia care untuk penggantiannya walaupun lama prosesnya tapi tetap diganti.,baru review saya kecewa belanja banyak dan karena barang mudah pecah karena benda liquid harus di packing dengan rapi jangan di jadi satu dus karena berat tidak tahu jatuh atau kenapa barang kurang dan ada yang pecah juga untung di bantu oleh tokopedia care untuk ganti walaupun lama proses tapi tetap ganti,0
tutup botol shampoo tdk benar jd isinya meleber kemana2,tutup botol shampoo tidak benar jadi isi leber mana,0
barang diterima  dgn baik. tp pengiriman nya lamaaa sekali... bisa satu minggu.. jd mikir2 lagi utk pesan barang... ,barang terima dengan baik tapi kirim nya lama sekali bisa satu minggu jadi mikir lagi untuk pesan barang,0
Salah kirim produk. ,salah kirim produk,0
Sampe barangnya 1 minggu; komplain karna kurang barangnya sampe 5 hari; tp barang yg kurang gadikirim2 pdhl setuju. mantapppp,sampai barang minggu komplain karena kurang barang sampai hari tapi barang yang kurang gadikirim padahal tuju mantap,0
Barang tiba di bari ke-6☹️,barang tiba di bari ke,0
lama pengirimannya; kayaknya lagi error. produk lengkap terkirim thank you,lama kirim seperti lagi error produk lengkap kirim thank you,0
